"","name","address","city","state","description","star","full_address","postal_code"
"1"," Sushi Inoue","381 Lenox Ave"," New York"," NY","ONE STAR for this Japanese restaurant in Harlem.",1,"381 Lenox Ave, New York, NY 10027","10027"
"2"," Dovetail","103 W 77th St"," New York"," NY","John Fraser's UWS fine dining restaurant has ONE STAR.",1,"103 W 77th St, New York, NY 10024","10024"
"3"," Cafe Boulud","20 E 76th St"," New York"," NY","Daniel Boulud's beloved Upper East Side restaurant has ONE STAR.",1,"20 E 76th St, New York, NY 10021","10021"
"4"," Jean-Georges","1 Central Park West"," New York"," NY","Jean-Georges Vongerichten's flagship restaurant has been downgraded this year to TWO STARS.",2,"1 Central Park West, New York, NY 10023","10023"
"5"," Masa","10 Columbus Cir"," New York"," NY","Masa Takayama's pricey sushi restaurant has THREE STARS.",3,"10 Columbus Cir, New York, NY 10019","10019"
"7"," Marea","240 Central Park S"," New York"," NY","Michael White's Central Park South Italian seafood restaurant has TWO STARS.",2,"240 Central Park S, New York, NY 10019","10019"
"8"," Daniel","60 E 65th St"," New York"," NY","Daniel Boulud's Upper East Side French restaurant has TWO STARS.",2,"60 E 65th St, New York, NY 10065","10065"
"9"," Torishin","362 W 53rd St"," New York"," NY","This terrific izakaya has ONE STAR.",1,"362 W 53rd St, New York, NY 10019","10019"
"10"," Le Bernardin","155 W 51st St"," New York"," NY","Eric Ripert's beloved seafood restaurant has THREE STARS.",3,"155 W 51st St, New York, NY 10019","10019"
"11"," The Modern","9 W 53rd St"," New York"," NY","Danny Meyer's Midtown restaurant with chef Abram Bissell has TWO STARS.",2,"9 W 53rd St, New York, NY 10019","10019"
"12"," Aquavit","65 E 55th St"," New York"," NY","This Midtown Scandinavian restaurant has TWO STARS.",2,"65 E 55th St, New York, NY 10022","10022"
"13"," Caviar Russe","538 Madison Ave"," New York"," NY","This Midtown East fine dining restaurant has ONE STAR.",1,"538 Madison Ave, New York, NY 10022","10022"
"14"," Satsuki (Suzuki’s sushi bar)","114 W 47th St (discreetly located)"," New York"," NY","The family behind longtime favorite Sushi Zen opened edomae-style omakase Satsuki in 2017 and have earned ONE STAR.",1,"114 W 47th St (discreetly located), New York, NY 10036","10036"
"15"," Chef's Table at Brooklyn Fare","431 W 37th St"," New York"," NY","Cesar Ramirez's fine-dining counter retains its THREE STAR rating for another year.",3,"431 W 37th St, New York, NY 10018","10018"
"16"," Aureole","135 W 42nd St"," New York"," NY","Charlie Palmer's Times Square restaurant has ONE STAR.",1,"135 W 42nd St, New York, NY 10036","10036"
"17"," Gabriel Kreuther","41 W 42nd St"," New York"," NY","Gabriel Kreuther's eponymous Midtown restaurant has ONE STAR.",1,"41 W 42nd St, New York, NY 10036","10036"
"19"," Sushi Ginza Onodera","461 5th Ave"," New York"," NY","This omakase-only restaurant has been upgraded this year to TWO STARS.",2,"461 5th Ave, New York, NY 10017","10017"
"20"," Sushi Amane","245 E 44th St"," New York"," NY","After just three months in Midtown East, Sushi Amane scores ONE STAR.",1,"245 E 44th St, New York, NY 10017","10017"
"21"," Sushi Yasuda","204 E 43rd St"," New York"," NY","This sushi favorite has ONE STAR.",1,"204 E 43rd St, New York, NY 10017","10017"
"22"," Ai Fiori","400 5th Ave #2"," New York"," NY","Michael White's French Riviera-inspired restaurant has ONE STAR.",1,"400 5th Ave #2, New York, NY 10018","10018"
"23"," Café China","13 E 37th St"," New York"," NY","This stylish Midtown Sichuan restaurant has ONE STAR.",1,"13 E 37th St, New York, NY 10016","10016"
"24"," Kajitsu","125 E 39th St"," New York"," NY","This Midtown vegetarian Japanese restaurant has ONE STAR.",1,"125 E 39th St, New York, NY 10016","10016"
"25"," Tempura Matsui","222 E 39th St"," New York"," NY","This pricey Japanese restaurant retains its ONE STAR rating.",1,"222 E 39th St, New York, NY 10016","10016"
"26"," Ushiwakamaru","362 W 23rd St"," New York"," NY","This Kosher-friendly sushi bar has ONE STAR.",1,"362 W 23rd St, New York, NY 10011","10011"
"27"," The Breslin","16 W 29th St"," New York"," NY","Ken Friedman and April Bloomfield's gastropub in the Ace Hotel has ONE STAR. Editor’s note: Ken Friedman, a part-owner, has been accused of sexual misconduct by multiple women.",1,"16 W 29th St, New York, NY 10001","10001"
